year,week,close_1,close_2,close_3,close_4,close_5,vol_1,vol_2,vol_3,vol_4,vol_5,percent,compound
2018,23,332.1,342.77,344.78,357.72,358.17,1318.3473,2234.7403,946.9804,1098.1023,1084.8254,12.752628596612729,0.8946
2018,24,370.83,352.55,362.22,347.51,333.63,1207.3226,1276.1903,838.3656,796.7145,1026.6059,-6.851495100092141,0.9995
2018,25,333.01,342.0,344.5,349.93,342.95,693.1304,745.2487,833.3727,839.8005,649.2396,2.793513772742257,2.0195
2018,26,335.07,310.86,310.86,309.16,308.9,1875.9765,1228.2638,1228.2638,1747.6374,886.5451,-9.928561014725181,0.8809
2018,27,318.51,322.47,318.96,316.71,318.87,759.6753,947.1498,488.4076,572.1166,587.577,3.2275817416639776,0.4300999999999999
2018,28,310.1,322.69,323.85,320.23,313.58,781.8655,699.6232,562.4211,591.5345,516.6547,-1.6589832847241888,1.5445
2018,29,303.2,297.43,308.74,306.65,297.18,1099.2947,959.0784,709.418,463.0522,570.3326,-5.229925377893991,0.0
2018,30,290.17,298.14,300.84,349.54,348.17,681.4072,507.6916,1012.943,2321.4962,1365.6486,17.157951409919917,-1.96
2018,31,341.99,379.57,370.34,352.45,355.49,856.4331,3087.5768,2457.1163,1718.3811,1155.2044,2.102421231007839,0.5859
2018,32,356.41,347.64,338.69,335.45,305.5,1046.3881,698.6427,910.1258,606.4033,1895.8612,-14.062280232917946,0.07830000000000004
2018,33,308.44,321.9,321.64,320.1,322.82,1740.2335,1317.223,594.5955,514.7286,360.2564,5.66939443535188,-0.9758
2018,34,319.27,311.86,305.01,303.15,301.66,1307.9288,764.9091,744.7392,721.6706,537.5104,-6.554736385601874,0.9705
2018,35,301.66,288.95,280.74,280.95,263.24,537.5104,835.0469,772.0821,748.076,2249.1931,-12.736193065040116,0.9926
2018,36,285.5,279.44,290.54,289.46,295.2,1428.3528,916.9989,1001.5427,634.0336,676.5612,12.141012004254664,0.011099999999999999
2018,37,294.84,284.96,299.02,298.33,299.1,688.7577,1654.7522,829.4917,734.9422,505.0478,1.3211382113821253,0.9251
2018,38,299.68,300.99,309.58,307.52,264.77,484.2961,448.1729,784.3216,850.9084,3364.97,-11.477766633233045,0.9565
2018,39,310.7,301.02,294.8,281.83,261.95,2177.7597,1174.3511,799.4988,981.4212,1794.4537,-1.0650753484156035,7.8321000000000005
2018,40,250.56,262.8,256.88,252.23,258.78,1347.2653,1206.0574,1281.5278,816.7738,720.1404,-1.2101546096583378,10.422300000000002
2018,41,259.59,276.59,271.78,263.91,260.0,619.9965,952.6401,865.5542,542.1184,937.5549,0.471442924491857,1.7073
2018,42,260.95,294.14,288.5,314.86,330.9,560.026,1902.7753,2005.8258,2084.0724,2742.552,27.269230769230763,8.7013
2018,43,334.85,329.9,337.32,344.28,346.41,1448.6027,912.6704,762.4348,800.0132,780.7971,4.687216681776986,3.8016
2018,44,341.4,341.06,348.16,351.4,350.51,783.1048,676.2889,737.4522,709.0674,509.8846,1.1835686036777129,4.672
2018,45,331.28,338.73,344.0,348.44,354.31,694.1523,544.8597,504.0287,462.5719,720.6191,1.0841345468032328,2.2875999999999994
2018,46,353.47,347.49,338.19,338.19,325.83,970.8871,800.4709,468.6808,468.6808,420.2642,-8.038158674606988,2.0683
2018,47,346.0,343.92,347.87,341.17,350.48,799.2141,635.83,412.7578,308.0724,562.8895,7.565294785624416,2.9245
2018,48,358.49,359.7,359.7,363.06,357.965,830.6511,846.1945,846.1945,784.2508,1151.1177,2.135642547363603,4.8945
2018,49,365.15,366.76,366.6,376.79,365.71,661.3455,630.8769,502.7048,736.5854,633.7555,2.163619348260306,2.633
2018,50,348.42,337.03,332.97,315.38,319.77,767.4008,709.9999,827.4181,907.1858,801.6801,-12.561865959366711,0.8909
2018,51,295.39,295.39,326.09,316.13,333.87,555.9913,555.9913,816.3138,857.5133,993.8992,4.409419270100392,2.0183
2018,52,332.8,332.8,332.8,332.8,332.8,630.2338,630.2338,630.2338,630.2338,630.2338,-0.32048402072662807,0.9889
2019,00,332.8,332.8,310.12,300.36,317.69,630.2338,630.2338,1165.8648,696.5184,739.4116,-4.540264423076927,2.9211000000000005
2019,01,334.96,335.35,338.53,344.97,347.26,755.1225,700.8516,543.2945,605.6354,503.9052,9.307815795272118,4.6485
2019,02,334.4,344.43,346.05,347.31,302.26,524.7284,605.659,469.1739,367.6733,2415.0763,-12.958590105396533,2.7573
2019,03,302.26,298.92,287.59,291.51,297.04,2415.0763,1206.6741,1252.9993,801.2155,725.8078,-1.7269900086018561,1.6924000000000001
2019,04,296.38,297.46,308.77,307.02,312.21,642.3279,462.1692,1125.0318,1256.9245,728.3441,5.10705628871531,0.29510000000000014
2019,05,312.89,321.35,317.22,307.51,305.8,735.2082,674.2765,503.8546,652.0611,584.4212,-2.053105281701409,2.8788
